Snippet,Algorithm,DepDegree,LOC,LOCR,McCabe,Halstead,CognitiveComplexity,Gn,GnCdt00Nest00,GnCdt00,GnPartCdt00,GnPartCdt00Total,BRANCH,CALL,CALLED,CALLEDp,CAST,CDENS,CONTROL,D,E,evG,EXEC,EXP,IF_NEST,ivG,LOC,LOOP,LOOP_NEST,N,n,NBD,NCLOC,NP,QCP_CRCT,QCP_MAINT,QCP_RLBTY,RETURN,RLOC,STAT,V,vG
ArrayAverage,Loops,17,17,14,3,12.64,1,6.9,6.9,6.9,6.9,11.4,0,0,1,1,1,0.1429,1,9,1118,1,6,23,0,1,10,1,1,29,16,1,10,1,20,99,44,1,0.625,7,116,2
ContainsSubstring,Loops,29,26,9,7,25.50,14,24.9,17.4,20.9,20.9,25.6,3,6,1,1,0,0.5333,8,20,4652,6,7,46,2,4,18,2,2,49,25,4,18,2,47,181,93,1,0.72,15,227,6
CountVowels,Loops,22,19,9,5,13.00,6,13.1,11.1,12.1,12.1,16.3,0,2,1,1,0,0.2727,3,8,1482,1,8,33,1,3,12,2,2,38,22,3,12,1,27,136,67,1,0.6667,11,169,4
DumbSort,IfElse,61,17,10,7,30.30,5,20.3,15.3,15.3,13.3,19,0,1,1,1,0,0.2381,5,23,4937,1,16,57,1,1,28,0,0,61,11,1,28,4,56,217,102,1,0.7568,21,211,6
GreatestCommonDivisor,Recursion,33,24,13,5,26.63,5,11.9,8.7,9.7,8.8,13.5,0,0,1,1,0,0.2727,3,23,3059,1,8,31,1,1,16,1,1,35,13,2,16,2,42,126,62,1,0.6957,11,129,4
RecursiveBinaryToDecimal,Recursion,10,17,12,4,16.75,2,11.9,9.9,9.9,9.9,14.6,0,3,3,3,0,0.4,2,12,1600,3,3,28,1,2,9,0,0,32,16,1,9,2,23,108,48,3,0.5625,5,128,3
RecursiveCrossSum,Recursion,4,12,10,3,14.66,1,6.2,5.2,5.2,5.2,9.4,0,1,2,2,1,0.3333,1,11,863,2,2,15,1,1,6,0,0,20,13,1,6,1,18,68,31,2,0.5,3,74,2
RecursiveFactorial,Recursion,4,12,6,3,16.50,1,5.9,4.9,4.9,4.9,9.1,0,1,2,2,0,0.3333,1,13,793,2,2,11,1,1,6,0,0,17,11,1,6,1,20,59,28,2,0.5,3,58,2
RecursiveFibonacciVariant,Recursion,4,12,12,3,10.88,1,7.2,6.2,6.2,6.2,10.4,0,2,3,3,0,0.3333,1,7,582,2,2,15,1,1,6,0,0,20,13,1,6,1,14,68,31,2,0.5,3,74,2
RecursivePower,Recursion,8,17,9,4,15.38,2,9.1,7.1,7.1,7.1,11.8,0,1,2,2,0,0.4,2,12,1190,3,3,19,1,1,9,0,0,26,13,1,9,2,23,90,42,3,0.5625,5,96,3
SquareRoot,Loops,27,23,13,5,39.83,6,15.6,11.6,12.6,10.3,14.8,1,3,1,1,0,0.3636,4,32,6423,3,7,51,1,3,15,1,1,45,21,2,15,1,51,157,73,1,0.7143,11,197,4
YesNo,IfElse,7,22,6,6,6.13,4,14.5,10.5,10.5,8.5,12.7,0,5,1,1,0,0.4,4,3,362,5,6,26,1,3,14,0,0,27,12,1,14,1,23,102,54,5,0.7,10,96,5
hIndex,Loops,20,21,12,4,16.25,4,11,8.5,9,9,13.6,1,1,1,1,0,0.2727,3,11,1737,3,8,27,1,1,14,1,1,35,19,2,14,1,28,125,60,1,0.7,11,148,3
isHurricane,IfElse,13,17,7,7,9.00,6,11.9,6.9,6.9,5,9.2,0,0,1,1,0,0.3846,5,6,1124,1,8,34,1,1,10,0,0,42,20,0,10,1,31,152,75,1,0.625,13,181,6
isPalindrome,Loops,17,17,7,4,16.72,3,12.3,10.8,11.3,11.3,14.5,1,4,1,1,0,0.375,3,12,1745,3,5,31,1,2,10,1,1,31,23,2,10,1,26,110,53,1,0.625,8,140,3
lengthOfLastWord,Loops,17,22,10,8,18.58,10,18.3,13.8,15.3,15.3,19.5,1,2,1,1,0,0.3333,4,14,3246,4,8,40,2,2,15,1,1,46,30,2,15,1,34,162,77,1,0.7143,12,225,7